GEOID,zone_id
060971543043142,1403
060971543043141,1403
060971543043140,1403
060971543043139,1403
060971543043138,1403
060971543043137,1403
060971543043136,1403
060971543043135,1403
060971543043134,1403
060971543043133,1403
060971543043132,1403
060971543043131,1403
060971543043130,1403
060971543043129,1403
060971543043128,1403
060971543043127,1403
060971543043126,1403
060971543043125,1403
060971543043124,1403
060971543043123,1403
060971543043122,1403
060971543043121,1403
060971543043120,1403
060971543043119,1403
060971543043118,1403
060971543043117,1403
060971543043116,1403
060971543043115,1403
060971543043114,1403
060971543043113,1403
060971543043112,1403
060971543043111,1403
060971543043110,1403
060971543043109,1403
060971543043108,1403
060971543043107,1403
060971543043106,1403
060971543043105,1403
060971543043104,1403
060971543043103,1403
060971543043102,1403
060971543043101,1403
060971543043100,1403
060971543043099,1403
060971543043098,1403
060971543043097,1403
060971543043096,1403
060971543043095,1403
060971543043094,1403
060971543043093,1403
060971543043092,1403
060971543043091,1403
060971543043090,1403
060971543043089,1403
060971543043088,1403
060971543043087,1403
060971543043086,1403
060971543043085,1403
060971543043084,1403
060971543043083,1403
060971543043082,1403
060971543043081,1403
060971543043080,1403
060971543043079,1403
060971543043078,1403
060971543043077,1403
060971543043076,1403
060971543043075,1403
060971543043074,1403
060971543043073,1403
060971543043072,1403
060971543043071,1403
060971543043070,1403
060971543043069,1403
060971543043068,1403
060971543043067,1403
060971543043066,1403
060971543043065,1403
060971543043064,1403
060971543043063,1403
060971543043062,1403
060971543043061,1403
060971543043060,1403
060971543043059,1403
060971543043058,1403
060971543043057,1403
060971543043056,1403
060971543043055,1403
060971543043054,1403
060971543043053,1403
060971543043052,1403
060971543043051,1403
060971543043050,1403
060971543043049,1403
060971543043048,1403
060971543043047,1403
060971543043046,1403
060971543043045,1403
060971543043044,1403
060971543043043,1403
060971543043042,1403
060971543043041,1403
060971543043040,1403
060971543043039,1403
060971543043038,1403
060971543043037,1403
060971543043036,1403
060971543043035,1403
060971543043034,1403
060971543043033,1403
060971543043032,1403
060971543043031,1403
060971543043030,1403
060971543043029,1403
060971543043028,1403
060971543043027,1403
060971543043026,1403
060971543043025,1403
060971543043024,1403
060971543043023,1403
060971543043022,1403
060971543043021,1403
060971543043020,1403
060971543043019,1403
060971543043018,1403
060971543043017,1403
060971543043016,1403
060971543043015,1403
060971543043014,1403
060971543043013,1403
060971543043012,1403
060971543043011,1403
060971543043010,1403
060971543043009,1403
060971543043008,1403
060971543043007,1403
060971543043006,1403
060971543043005,1403
060971543043004,1403
060971543043003,1403
060971543043002,1403
060971543043001,1403
060971543043000,1403
060971543042102,1403
060971543042101,1403
060971543042100,1403
060971543042099,1403
060971543042098,1403
060971543042097,1403
060971543042096,1403
060971543042095,1403
060971543042094,1403
060971543042093,1403
060971543042092,1403
060971543042091,1403
060971543042090,1403
060971543042089,1403
060971543042088,1403
060971543042087,1403
060971543042086,1403
060971543042085,1403
060971543042084,1403
060971543042083,1403
060971543042082,1403
060971543042081,1403
060971543042080,1403
060971543042079,1403
060971543042078,1403
060971543042077,1403
060971543042076,1403
060971543042075,1403
060971543042074,1403
060971543042073,1403
060971543042072,1403
060971543042071,1403
060971543042070,1403
060971543042069,1403
060971543042068,1403
060971543042067,1403
060971543042066,1403
060971543042065,1403
060971543042064,1403
060971543042063,1403
060971543042062,1403
060971543042061,1403
060971543042060,1403
060971543042059,1403
060971543042058,1403
060971543042057,1403
060971543042056,1403
060971543042055,1403
060971543042054,1403
060971543042053,1403
060971543042052,1403
060971543042051,1403
060971543042050,1403
060971543042049,1403
060971543042048,1403
060971543042047,1403
060971543042046,1403
060971543042045,1403
060971543042044,1403
060971543042043,1403
060971543042042,1403
060971543042041,1403
060971543042040,1403
060971543042039,1403
060971543042038,1403
060971543042037,1403
060971543042036,1403
060971543042035,1403
060971543042034,1403
060971543042033,1403
060971543042032,1403
060971543042031,1403
060971543042030,1403
060971543042029,1403
060971543042028,1403
060971543042027,1403
060971543042026,1403
060971543042025,1403
060971543042024,1403
060971543042023,1403
060971543042022,1403
060971543042021,1403
060971543042020,1403
060971543042019,1403
060971543042018,1403
060971543042017,1403
060971543042016,1403
060971543042015,1403
060971543042014,1403
060971543042013,1403
060971543042012,1403
060971543042011,1403
060971543042010,1403
060971543042009,1403
060971543042008,1403
060971543042007,1403
060971543042006,1403
060971543042005,1403
060971543042004,1403
060971543042003,1403
060971543042002,1403
060971543042001,1403
060971543042000,1403
060971543041385,1403
060971543041384,1403
060971543041383,1403
060971543041382,1403
060971543041381,1403
060971543041380,1403
060971543041379,1403
060971543041378,1403
060971543041377,1403
060971543041376,1403
060971543041375,1403
060971543041374,1403
060971543041373,1403
060971543041372,1403
060971543041371,1403
060971543041370,1403
060971543041369,1403
060971543041368,1403
060971543041367,1403
060971543041366,1403
060971543041365,1403
060971543041364,1403
060971543041363,1403
060971543041362,1403
060971543041361,1403
060971543041360,1403
060971543041359,1403
060971543041358,1403
060971543041357,1403
060971543041356,1403
060971543041355,1403
060971543041354,1403
060971543041353,1403
060971543041352,1403
060971543041351,1403
060971543041350,1403
060971543041349,1403
060971543041348,1403
060971543041347,1403
060971543041346,1403
060971543041345,1403
060971543041344,1403
060971543041343,1403
060971543041342,1403
060971543041341,1403
060971543041340,1403
060971543041339,1403
060971543041338,1403
060971543041337,1403
060971543041336,1403
060971543041335,1403
060971543041334,1403
060971543041333,1403
060971543041332,1403
060971543041331,1403
060971543041330,1403
060971543041329,1403
060971543041328,1403
060971543041327,1403
060971543041326,1403
060971543041325,1403
060971543041324,1403
060971543041323,1403
060971543041322,1403
060971543041321,1403
060971543041320,1403
060971543041319,1403
060971543041318,1403
060971543041317,1403
060971543041316,1403
060971543041315,1403
060971543041314,1403
060971543041313,1403
060971543041312,1403
060971543041311,1403
060971543041310,1403
060971543041309,1403
060971543041308,1403
060971543041307,1403
060971543041306,1403
060971543041305,1403
060971543041304,1403
060971543041303,1403
060971543041302,1403
060971543041301,1403
060971543041300,1403
060971543041299,1403
060971543041298,1403
060971543041297,1403
060971543041296,1403
060971543041295,1403
060971543041294,1403
060971543041293,1403
060971543041292,1403
060971543041291,1403
060971543041290,1403
060971543041289,1403
060971543041288,1403
060971543041287,1403
060971543041286,1403
060971543041285,1403
060971543041284,1403
060971543041283,1403
060971543041282,1403
060971543041281,1403
060971543041280,1403
060971543041279,1403
060971543041278,1403
060971543041277,1403
060971543041276,1403
060971543041275,1403
060971543041274,1403
060971543041273,1403
060971543041272,1403
060971543041271,1403
060971543041270,1403
060971543041269,1403
060971543041268,1403
060971543041267,1403
060971543041266,1403
060971543041265,1403
060971543041264,1403
060971543041263,1403
060971543041262,1403
060971543041261,1403
060971543041260,1403
060971543041259,1403
060971543041258,1403
060971543041257,1403
060971543041256,1403
060971543041255,1403
060971543041254,1403
060971543041253,1403
060971543041252,1403
060971543041251,1403
060971543041250,1403
060971543041249,1403
060971543041248,1403
060971543041247,1403
060971543041246,1403
060971543041245,1403
060971543041244,1403
060971543041243,1403
060971543041242,1403
060971543041241,1403
060971543041240,1403
060971543041239,1403
060971543041238,1403
060971543041237,1403
060971543041236,1403
060971543041235,1403
060971543041234,1403
060971543041233,1403
060971543041232,1403
060971543041231,1403
060971543041230,1403
060971543041229,1403
060971543041228,1403
060971543041227,1403
060971543041226,1403
060971543041225,1403
060971543041224,1403
060971543041223,1403
060971543041222,1403
060971543041221,1403
060971543041220,1403
060971543041219,1403
060971543041218,1403
060971543041217,1403
060971543041216,1403
060971543041215,1403
060971543041214,1403
060971543041213,1403
060971543041212,1403
060971543041211,1403
060971543041210,1403
060971543041209,1403
060971543041208,1403
060971543041207,1403
060971543041206,1403
060971543041205,1403
060971543041204,1403
060971543041203,1403
060971543041202,1403
060971543041201,1403
060971543041200,1403
060971543041199,1403
060971543041198,1403
060971543041197,1403
060971543041196,1403
060971543041195,1403
060971543041194,1403
060971543041193,1403
060971543041192,1403
060971543041191,1403
060971543041190,1403
060971543041189,1403
060971543041188,1403
060971543041187,1403
060971543041186,1403
060971543041185,1403
060971543041184,1403
060971543041183,1403
060971543041182,1403
060971543041181,1403
060971543041180,1403
060971543041179,1403
060971543041178,1403
060971543041177,1403
060971543041176,1403
060971543041175,1403
060971543041174,1403
060971543041173,1403
060971543041172,1403
060971543041171,1403
060971543041170,1403
060971543041169,1403
060971543041168,1403
060971543041167,1403
060971543041166,1403
060971543041165,1403
060971543041164,1403
060971543041163,1403
060971543041162,1403
060971543041161,1403
060971543041160,1403
060971543041159,1403
060971543041158,1403
060971543041157,1403
060971543041156,1403
060971543041155,1403
060971543041154,1403
060971543041153,1403
060971543041152,1403
060971543041151,1403
060971543041150,1403
060971543041149,1403
060971543041148,1403
060971543041147,1403
060971543041146,1403
060971543041145,1403
060971543041144,1403
060971543041143,1403
060971543041142,1403
060971543041141,1403
060971543041140,1403
060971543041139,1403
060971543041138,1403
060971543041137,1403
060971543041136,1403
060971543041135,1403
060971543041134,1403
060971543041133,1403
060971543041132,1403
060971543041131,1403
060971543041130,1403
060971543041129,1403
060971543041128,1403
060971543041127,1403
060971543041126,1403
060971543041125,1403
060971543041124,1403
060971543041123,1403
060971543041122,1403
060971543041121,1403
060971543041120,1403
060971543041119,1403
060971543041118,1403
060971543041117,1403
060971543041116,1403
060971543041115,1403
060971543041114,1403
060971543041113,1403
060971543041112,1403
