GEOID,zone_id
060971543043142,337
060971543043141,337
060971543043140,337
060971543043139,337
060971543043138,337
060971543043137,337
060971543043136,337
060971543043135,337
060971543043134,337
060971543043133,337
060971543043132,337
060971543043131,337
060971543043130,337
060971543043129,337
060971543043128,337
060971543043127,337
060971543043126,337
060971543043125,337
060971543043124,337
060971543043123,337
060971543043122,337
060971543043121,337
060971543043120,337
060971543043119,337
060971543043118,337
060971543043117,337
060971543043116,337
060971543043115,337
060971543043114,337
060971543043113,337
060971543043112,337
060971543043111,337
060971543043110,337
060971543043109,337
060971543043108,337
060971543043107,337
060971543043106,337
060971543043105,337
060971543043104,337
060971543043103,337
060971543043102,337
060971543043101,337
060971543043100,337
060971543043099,337
060971543043098,337
060971543043097,337
060971543043096,337
060971543043095,337
060971543043094,337
060971543043093,337
060971543043092,337
060971543043091,337
060971543043090,337
060971543043089,337
060971543043088,337
060971543043087,337
060971543043086,337
060971543043085,337
060971543043084,337
060971543043083,337
060971543043082,337
060971543043081,337
060971543043080,337
060971543043079,337
060971543043078,337
060971543043077,337
060971543043076,337
060971543043075,337
060971543043074,337
060971543043073,337
060971543043072,337
060971543043071,337
060971543043070,337
060971543043069,337
060971543043068,337
060971543043067,337
060971543043066,337
060971543043065,337
060971543043064,337
060971543043063,337
060971543043062,337
060971543043061,337
060971543043060,337
060971543043059,337
060971543043058,337
060971543043057,337
060971543043056,337
060971543043055,337
060971543043054,337
060971543043053,337
060971543043052,337
060971543043051,337
060971543043050,337
060971543043049,337
060971543043048,337
060971543043047,337
060971543043046,337
060971543043045,337
060971543043044,337
060971543043043,337
060971543043042,337
060971543043041,337
060971543043040,337
060971543043039,337
060971543043038,337
060971543043037,337
060971543043036,337
060971543043035,337
060971543043034,337
060971543043033,337
060971543043032,337
060971543043031,337
060971543043030,337
060971543043029,337
060971543043028,337
060971543043027,337
060971543043026,337
060971543043025,337
060971543043024,337
060971543043023,337
060971543043022,337
060971543043021,337
060971543043020,337
060971543043019,337
060971543043018,337
060971543043017,337
060971543043016,337
060971543043015,337
060971543043014,337
060971543043013,337
060971543043012,337
060971543043011,337
060971543043010,337
060971543043009,337
060971543043008,337
060971543043007,337
060971543043006,337
060971543043005,337
060971543043004,337
060971543043003,337
060971543043002,337
060971543043001,337
060971543043000,337
060971543042102,337
060971543042101,337
060971543042100,337
060971543042099,337
060971543042098,337
060971543042097,337
060971543042096,337
060971543042095,337
060971543042094,337
060971543042093,337
060971543042092,337
060971543042091,337
060971543042090,337
060971543042089,337
060971543042088,337
060971543042087,337
060971543042086,337
060971543042085,337
060971543042084,337
060971543042083,337
060971543042082,337
060971543042081,337
060971543042080,337
060971543042079,337
060971543042078,337
060971543042077,337
060971543042076,337
060971543042075,337
060971543042074,337
060971543042073,337
060971543042072,337
060971543042071,337
060971543042070,337
060971543042069,337
060971543042068,337
060971543042067,337
060971543042066,337
060971543042065,337
060971543042064,337
060971543042063,337
060971543042062,337
060971543042061,337
060971543042060,337
060971543042059,337
060971543042058,337
060971543042057,337
060971543042056,337
060971543042055,337
060971543042054,337
060971543042053,337
060971543042052,337
060971543042051,337
060971543042050,337
060971543042049,337
060971543042048,337
060971543042047,337
060971543042046,337
060971543042045,337
060971543042044,337
060971543042043,337
060971543042042,337
060971543042041,337
060971543042040,337
060971543042039,337
060971543042038,337
060971543042037,337
060971543042036,337
060971543042035,337
060971543042034,337
060971543042033,337
060971543042032,337
060971543042031,337
060971543042030,337
060971543042029,337
060971543042028,337
060971543042027,337
060971543042026,337
060971543042025,337
060971543042024,337
060971543042023,337
060971543042022,337
060971543042021,337
060971543042020,337
060971543042019,337
060971543042018,337
060971543042017,337
060971543042016,337
060971543042015,337
060971543042014,337
060971543042013,337
060971543042012,337
060971543042011,337
060971543042010,337
060971543042009,337
060971543042008,337
060971543042007,337
060971543042006,337
060971543042005,337
060971543042004,337
