,ncessch,county_code,y,x,enrollment,TAZ
1014,62805013676,1,37.761471,-122.171025,286.0,475
1015,62805013735,1,37.74563,-122.140701,344.0,552
1016,62805013752,1,37.801429999999996,-122.26926100000001,263.0,525
1017,62805013772,1,37.777409999999996,-122.230671,288.0,627
1018,62805013856,1,37.787209999999995,-122.18774499999999,186.0,530
1019,62805013864,1,37.758174,-122.162333,139.0,541
1020,62805013888,1,37.793426000000004,-122.19953000000001,34.0,631
1021,62805013889,1,37.758174,-122.162333,32.0,541
1022,62805013942,1,37.75137,-122.15728700000001,113.0,590
1023,62808000186,13,37.982587,-121.71726899999999,519.0,840
1024,62808000190,13,38.0046,-121.71883999999999,523.0,731
1025,62808004326,13,37.975575,-121.699277,765.0,839
1026,62808004327,13,37.994175,-121.716921,435.0,731
1027,62808008689,13,37.993509,-121.690382,789.0,839
1028,62808009966,13,37.988528,-121.71243700000001,864.0,839
1029,62808011575,13,37.991806,-121.690322,729.0,839
1030,62808013786,13,37.97542,-121.72529399999999,381.0,840
1031,62832004384,97,38.246118,-122.608607,351.0,259
1032,62832004385,97,38.236281,-122.61075100000001,387.0,454
1033,62832004386,97,38.261829,-122.598215,292.0,205
1034,62832007455,97,38.267528000000006,-122.62969299999999,469.0,261
1035,62832012549,97,38.22614,-122.586651,162.0,205
1036,62832013259,97,38.254303,-122.625847,272.0,260
1037,62868004460,85,37.38753,-121.9026,905.0,363
1038,62886004470,13,37.845601,-122.15290300000001,407.0,878
1039,62886004471,13,37.871840999999996,-122.16255600000001,443.0,907
1040,62886004472,13,37.851251,-122.14718899999998,895.0,877
1041,62886004473,13,37.909093,-122.20083899999999,389.0,881
1042,62886007077,13,37.897597999999995,-122.206523,403.0,881
1043,62961004579,85,37.445803000000005,-122.15052299999999,475.0,155
1044,62961004581,85,37.418707,-122.11402199999999,406.0,124
1045,62961004583,85,37.425174,-122.13001200000001,395.0,125
1046,62961004584,85,37.420970000000004,-122.156103,550.0,131
1047,62961004585,85,37.422231,-122.11771399999999,514.0,124
1048,62961004586,85,37.449711,-122.13426899999999,479.0,126
1049,62961004587,85,37.403081,-122.13493899999999,1939.0,284
1050,62961004588,85,37.443002,-122.143382,463.0,127
1051,62961004591,85,37.407234,-122.12920600000001,335.0,122
