GEOID,zone_id
480219504001,1
480219504002,2
480219504003,3
480219504004,4
480219504005,5
480219505011,6
480219505012,7
480219505013,8
480219505021,9
480219505022,10
480219505023,11
480219503002,12
480219503005,13
480219508021,14
480219503001,15
480219503003,16
480219503004,17
480219508011,18
480219508012,19
480219508013,20
480219508022,21
480219508023,22
480219502001,23
480219502002,24
480219502003,25
480219502004,26
480219502005,27
480219501005,28
480219501001,29
480219501002,30
480219501003,31
480219501004,32
480219506001,33
480219506002,34
480219507001,35
480219507002,36
480219507003,37
480219507004,38
480219506003,39
480539601002,40
480539601003,41
480539601001,42
480539602001,43
480539602002,44
480539603001,45
480539603002,46
480539603003,47
480539603004,48
480539603005,49
480539604001,50
480539604002,51
480539604003,52
480539608002,53
480539605001,54
480539605003,55
480539605004,56
480539606001,57
480539605002,58
480539606002,59
480539607001,60
480539607002,61
480539607003,62
480539607004,63
480539607005,64
480539608001,65
480539608003,66
480559601022,67
480559602001,68
480559602002,69
480559602003,70
480559602004,71
480559603001,72
480559603002,73
480559603003,74
480559604001,75
480559604002,76
480559601011,77
480559601012,78
480559601013,79
480559601021,80
480559606001,81
480559607001,82
480559607002,83
480559607003,84
480559607004,85
480559607005,86
480559606002,87
480559605003,88
480559605002,89
480559605004,90
480559605001,91
482090108052,92
482090108042,93
482090108061,94
482090108062,95
482090108071,96
482090108082,97
482090108091,98
482090108031,99
482090108033,100
482090108041,101
482090108043,102
482090108032,103
482090108044,104
482090108051,105
482090108053,106
482090108054,107
482090108072,108
482090108081,109
482090108083,110
482090108092,111
482090109011,112
482090109012,113
482090109013,114
482090109014,115
482090109022,116
482090109023,117
482090109024,118
482090109081,119
482090109082,120
482090109021,121
482090109025,122
482090109051,123
482090109052,124
482090109053,125
482090109061,126
482090109062,127
482090109064,128
482090109073,129
482090109091,130
482090109092,131
482090109093,132
482090109101,133
482090109102,134
482090109103,135
482090109104,136
482090109071,137
482090109072,138
482090109063,139
482090109074,140
482090101001,141
482090101002,142
482090102001,143
482090102002,144
482090102003,145
482090103021,146
482090103022,147
482090103031,148
482090103032,149
482090103033,150
482090103041,151
482090103042,152
482090103043,153
482090103044,154
482090104001,155
482090104002,156
482090104003,157
482090105001,158
482090105002,159
482090106001,160
482090106002,161
482090106003,162
482090106004,163
482090106005,164
482090106006,165
482090107011,166
